"Site Crawled","https://blog.shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:27:03"
"Last Modified Date","2026-09-06"
"Last Modified Time","21:17:53"
"Elapsed","00:50:49"
"Report Date","2026-09-07"
"Report Time","11:57:23"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Missing Self Reference","0","0.00%","2500","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","2500","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","2500","Internal pages with 2xx response"
"Missing","0","0.00%","2500","Internal pages with 2xx response"
"Outside <head>","0","0.00%","2500","Internal pages with 2xx response"
""
"JavaScript"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","2500","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","2500","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","2500","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","2500","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","2500","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","2500","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","2500","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","2500","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","2500","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"Links"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","2500","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","1253","50.12%","2500","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","2500","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","2500","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","2500","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","2500","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","2500","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
